"","LPI_final","CI_low","CI_high","years"
"1950",1,1,1,1950
"1951",0.994112142364353,0.960788003915213,1.02197528028835,1951
"1952",1.01660428617673,0.973437104457993,1.05335386562987,1952
"1953",1.01762091151536,0.976412560664824,1.05585372846077,1953
"1954",1.02307314680761,0.976797474740784,1.06570349199095,1954
"1955",1.01730077982624,0.964286428015881,1.06883072315739,1955
"1956",1.01539760506062,0.959356952953794,1.06654776372531,1956
"1957",1.02644853704567,0.967376006415703,1.07974460999357,1957
"1958",1.03459186703315,0.973362919871223,1.09091441138169,1958
"1959",1.03834760393441,0.975468417660087,1.10141625712319,1959
"1960",1.05296174790301,0.987157582431741,1.12346063793168,1960
"1961",1.0640292839238,0.995514263346668,1.13275270068457,1961
"1962",1.07857430765508,1.0102105442552,1.15161785575488,1962
"1963",1.08922413809547,1.0189559240102,1.16503068292971,1963
"1964",1.09331309736617,1.02145525354704,1.16700039703152,1964
"1965",1.09763808886617,1.02573704796381,1.17439634072841,1965
"1966",1.10425250336613,1.02970925584192,1.18434055324411,1966
"1967",1.10955751855456,1.0331818302623,1.18784717701779,1967
"1968",1.11645607260264,1.03934321983772,1.19595748585747,1968
"1969",1.12437732901691,1.04657293664118,1.2059740700611,1969
"1970",1.12962875809377,1.04954540941339,1.21272725758799,1970
"1971",1.13508036046607,1.05598620446251,1.22049723695093,1971
"1972",1.13625838019192,1.05662297155216,1.21981465766907,1972
"1973",1.14079599470142,1.06011048335898,1.22527734327269,1973
"1974",1.14006523178052,1.06018718761338,1.22434518600285,1974
"1975",1.143580445477,1.0632952367833,1.22833590758179,1975
"1976",1.14759145070516,1.06797056779221,1.23001524450674,1976
"1977",1.14906186828021,1.06870383488968,1.23314674847189,1977
"1978",1.14981305304573,1.06938291439956,1.23296477267511,1978
"1979",1.15103392186141,1.06985103163676,1.23391566015735,1979
"1980",1.15147065782492,1.06955523178234,1.23532297661962,1980
"1981",1.15135579890103,1.06849166214059,1.23577318851657,1981
"1982",1.14924571107747,1.06732751186068,1.23467329967094,1982
"1983",1.15868114684276,1.07570478661842,1.2463664735091,1983
"1984",1.14914895765772,1.06533358924262,1.23617559580301,1984
"1985",1.13987428710258,1.05708431497896,1.22613483708209,1985
"1986",1.13665516613783,1.05436676936051,1.22330312286496,1986
"1987",1.13650803948015,1.0527902169827,1.22200886767685,1987
"1988",1.13530086247895,1.05117981670576,1.22222235635856,1988
"1989",1.13658779057769,1.0528875571315,1.22347487888955,1989
"1990",1.13339772929755,1.05033096356633,1.21986982239469,1990
"1991",1.13204012507674,1.04893605559725,1.21988924279028,1991
"1992",1.12853781250906,1.04450841361572,1.21488748462892,1992
"1993",1.12247927661918,1.03914271679311,1.21049002060794,1993
"1994",1.12506425451527,1.04026521279741,1.21323198654707,1994
"1995",1.12496321615889,1.04075569302469,1.21500489783249,1995
"1996",1.11324235778944,1.03073092513239,1.19974070365404,1996
"1997",1.10371493991927,1.01888211814587,1.19136402092101,1997
"1998",1.08494201812494,1.00303171311971,1.17048026056526,1998
"1999",1.06279964477653,0.979269244837417,1.14683727904826,1999
"2000",1.0488822044831,0.966226144482557,1.130586815039,2000
"2001",1.03534367566968,0.954276905159981,1.11519902621396,2001
"2002",1.0184932635396,0.93756189121729,1.09895454025189,2002
"2003",1.01213942922464,0.933408910070793,1.09068493062933,2003
"2004",0.999612254724773,0.921700189400355,1.07744631739943,2004
"2005",0.984838252242758,0.908371089763535,1.06249856044528,2005
"2006",0.96988741513322,0.89526460749064,1.04669632769221,2006
"2007",0.956406512183169,0.881719034606617,1.03378308090414,2007
"2008",0.950175293684311,0.875087637769828,1.02736047193357,2008
"2009",0.937832192428274,0.862655726161856,1.01659552865617,2009
"2010",0.918954611357049,0.84510209650857,0.996558991050928,2010
"2011",0.898955352427757,0.827261390083126,0.974205100128839,2011
"2012",0.884667881001176,0.814525341015608,0.960666743800843,2012
"2013",0.877688329733775,0.808029146174773,0.952401326832165,2013
"2014",0.86123554280034,0.79305607759259,0.934045960846298,2014
"2015",0.852149490120909,0.784600654664894,0.926104785112781,2015
"2016",0.825667148370319,0.758124145329857,0.897693538015037,2016
"2017",0.782348112156533,0.719933633730475,0.851546613433828,2017
"2018",0.768831219365334,0.705943482667214,0.840458332536558,2018
"2019",0.73784384474372,0.675569313151013,0.810350697119847,2019
"2020",0.680227600906011,0.621925895074689,0.747492575577176,2020
"2021",0.680227600906011,0.621925895074689,0.747492575577176,2021
