"","LPI_final","CI_low","CI_high","years","label","sim"
"1",1,1,1,1950,"concave",1
"2",0.834689383913261,0.834051993587011,0.835289152602464,1951,"concave",1
"3",0.74177706152788,0.741070397130569,0.742402521019468,1952,"concave",1
"4",0.708265809631875,0.707545621415038,0.708960679941601,1953,"concave",1
"5",0.696650758983561,0.695912456720197,0.697414300338074,1954,"concave",1
"6",0.681166574961034,0.680421052126934,0.681962945812206,1955,"concave",1
"7",0.663682347217287,0.662849682797794,0.664535983104196,1956,"concave",1
"8",0.652715792191758,0.651811415700069,0.653610864475121,1957,"concave",1
"9",0.645216683204422,0.644331990276046,0.646105840229087,1958,"concave",1
"10",0.634820880704279,0.633904212879477,0.635753473516695,1959,"concave",1
"11",0.623539928234278,0.622599080786544,0.624514298667925,1960,"concave",1
"12",0.615900712647914,0.614927708359127,0.616854979229096,1961,"concave",1
"13",0.610330250428334,0.609321972622873,0.611363466726251,1962,"concave",1
"14",0.602675271644039,0.601653715761443,0.603724485400663,1963,"concave",1
"15",0.594358152905117,0.593308988160052,0.595398481761312,1964,"concave",1
"16",0.588448569767504,0.587419571209458,0.589488814349846,1965,"concave",1
"17",0.583892456475736,0.582823628747582,0.585004539832947,1966,"concave",1
"18",0.577920436132105,0.57684022789855,0.579067209330757,1967,"concave",1
"19",0.571079232690612,0.570014768854247,0.572215564283562,1968,"concave",1
"20",0.565873776532639,0.564730884096914,0.567034139814299,1969,"concave",1
"21",0.561697608429014,0.560529415182471,0.562838673561604,1970,"concave",1
"22",0.556531670462985,0.555393841413865,0.55773014461147,1971,"concave",1
"23",0.550770598229977,0.549601610349405,0.551951175180745,1972,"concave",1
"24",0.546386589151202,0.54523772003011,0.547628581621863,1973,"concave",1
"25",0.543015240107399,0.541829571228056,0.544238716492723,1974,"concave",1
"26",0.53881923378928,0.53759453362705,0.540094767091992,1975,"concave",1
"27",0.533965325616645,0.532735338287758,0.535249111551694,1976,"concave",1
"28",0.530172099598837,0.528918128641642,0.531408300600833,1977,"concave",1
"29",0.527072932760565,0.525834016262605,0.528313465267177,1978,"concave",1
"30",0.523152341633849,0.521915679086817,0.524363633130751,1979,"concave",1
"31",0.51879375893247,0.51750430228674,0.520013781158762,1980,"concave",1
"32",0.515446322363369,0.514159880218531,0.516688392046322,1981,"concave",1
"33",0.51292151811813,0.511673492467263,0.514230333913812,1982,"concave",1
"34",0.509694337232947,0.508452472459639,0.51099572210649,1983,"concave",1
"35",0.505830276510576,0.504587476169489,0.507129104472143,1984,"concave",1
"36",0.502647050783812,0.501360397523491,0.503969622408435,1985,"concave",1
"37",0.500211758871347,0.498901586573087,0.501569397345771,1986,"concave",1
"38",0.4971977104928,0.495941630210834,0.498555762425762,1987,"concave",1
"39",0.493664801736588,0.492340799550844,0.495034886867938,1988,"concave",1
"40",0.490614901316552,0.489318642373619,0.492000542027526,1989,"concave",1
"41",0.48819601520813,0.486868452815827,0.489539200921669,1990,"concave",1
"42",0.485353606076923,0.483995213898559,0.486710914788331,1991,"concave",1
"43",0.481980767746531,0.480589673804144,0.483361158831494,1992,"concave",1
"44",0.479126198527693,0.477761134768911,0.480502428837837,1993,"concave",1
"45",0.476903002439993,0.475538998710092,0.478272967215091,1994,"concave",1
"46",0.474462468749268,0.473127050544082,0.475880061374297,1995,"concave",1
"47",0.47156244626071,0.47018352491304,0.472977434556485,1996,"concave",1
"48",0.469115871083466,0.467757727158771,0.470513417624028,1997,"concave",1
"49",0.467167167410314,0.465802997336125,0.46853534157609,1998,"concave",1
"50",0.464878477345771,0.463500297762468,0.466309522258936,1999,"concave",1
"51",0.462146342384485,0.460748255738694,0.463570651961105,2000,"concave",1
"52",0.459858522568279,0.458463754291949,0.461323179010857,2001,"concave",1
"53",0.458065382445913,0.45667406157104,0.459511130756497,2002,"concave",1
"54",0.455948541715104,0.454607758227507,0.457408313487315,2003,"concave",1
"55",0.453275173149789,0.451908382366946,0.454764505423443,2004,"concave",1
"56",0.450880768555715,0.449460206166449,0.452361547626407,2005,"concave",1
"57",0.449092075668648,0.447695727655675,0.45062226402826,2006,"concave",1
"58",0.447151439786053,0.445736109741969,0.448681155231798,2007,"concave",1
"59",0.444737366513213,0.443320296032751,0.446274976671046,2008,"concave",1
"60",0.44250756800142,0.441104950080416,0.444081454732788,2009,"concave",1
"61",0.440758827179766,0.439332045197368,0.442346337586525,2010,"concave",1
"62",0.43890185916959,0.437492617369901,0.440467736879884,2011,"concave",1
"63",0.436590960921881,0.435157517406079,0.438158675692341,2012,"concave",1
"64",0.434493454936306,0.433068726465282,0.436067702480685,2013,"concave",1
"65",0.432803986450296,0.431346797007305,0.434351720690391,2014,"concave",1
"66",0.430920633337883,0.42946444941003,0.432527488287727,2015,"concave",1
"67",0.428642729983256,0.427184709298837,0.430254951508762,2016,"concave",1
"68",0.426602947501844,0.425146264761392,0.428190377179593,2017,"concave",1
"69",0.425109607051996,0.423674931232606,0.426730633469353,2018,"concave",1
"70",0.423403529106016,0.421931129353299,0.425015732174231,2019,"concave",1
"71",0.421190270032377,0.419702034643899,0.422798558395477,2020,"concave",1
"72",0.421190270032377,0.419702034643899,0.422798558395477,2021,"concave",1
"73",1,1,1,1950,"linear",1
"74",0.991397004002614,0.99084063309132,0.992000842100423,1951,"linear",1
"75",0.983063389589752,0.98236081175601,0.983801707559972,1952,"linear",1
"76",0.974707605742594,0.973822858431941,0.975505175472552,1953,"linear",1
"77",0.966294553957614,0.965432560038265,0.967172207429239,1954,"linear",1
"78",0.957846151240325,0.95688941911468,0.958837887449503,1955,"linear",1
