"","LPI_final","CI_low","CI_high","years","sim","label"
"1",1,1,1,1950,1,"20%"
"2",1.00070263079056,0.99754771734405,1.00497227106017,1951,1,"20%"
"3",1.00099684335728,0.99642449792131,1.00624728048425,1952,1,"20%"
"4",1.00061924813616,0.995721141675177,1.00598786000538,1953,1,"20%"
"5",0.999370045908115,0.994106931192351,1.00520514957616,1954,1,"20%"
"6",0.997585674777558,0.991325408133635,1.00428088772078,1955,1,"20%"
"7",0.996243434698239,0.989647881053894,1.00337137334994,1956,1,"20%"
"8",0.996140401208858,0.989225782092286,1.00332223083676,1957,1,"20%"
"9",0.997116935139868,0.990091465388336,1.0043395091837,1958,1,"20%"
"10",0.998596439179003,0.991253754652503,1.00684052082991,1959,1,"20%"
"11",0.999097413590355,0.991170760739974,1.0078608427069,1960,1,"20%"
"12",0.99753208727487,0.989682217116245,1.00680363553828,1961,1,"20%"
"13",0.994563891214962,0.985315800508132,1.0040603585777,1962,1,"20%"
"14",0.992058790583052,0.98280680030947,1.00222180445494,1963,1,"20%"
"15",0.991291954485394,0.98203247278864,1.00130995840078,1964,1,"20%"
"16",0.992636843306393,0.982768504680277,1.003527975483,1965,1,"20%"
"17",0.994376667274735,0.984407399636093,1.00537646224389,1966,1,"20%"
"18",0.994662637459233,0.984529394076389,1.00578150256049,1967,1,"20%"
"19",0.993535199969733,0.982962463353567,1.00527231137099,1968,1,"20%"
"20",0.992349062321259,0.981716459151271,1.00436257288001,1969,1,"20%"
"21",0.991632361115297,0.981096918185056,1.00367305606076,1970,1,"20%"
"22",0.990667454326637,0.980104485844514,1.00264845147214,1971,1,"20%"
"23",0.989008606086737,0.97870112454988,1.00085161586502,1972,1,"20%"
"24",0.987716714187114,0.977403751296912,0.999818740357414,1973,1,"20%"
"25",0.987958704865225,0.977117296017104,1.00019309399658,1974,1,"20%"
"26",0.989716454153216,0.978023178188048,1.00259217463432,1975,1,"20%"
"27",0.991381369485,0.979651082703993,1.00482619872054,1976,1,"20%"
"28",0.991220959262675,0.979330215426898,1.00441333880127,1977,1,"20%"
"29",0.989112781226589,0.976428802002821,1.00249092549082,1978,1,"20%"
"30",0.986612805305581,0.97371236561533,1.0003225250654,1979,1,"20%"
"31",0.985092746645935,0.972111735058052,0.999020056300896,1980,1,"20%"
"32",0.984430900400347,0.971154800609259,0.998607258601097,1981,1,"20%"
"33",0.983582093014858,0.970070180424535,0.998233501071669,1982,1,"20%"
"34",0.981942944420425,0.968261418748802,0.996948900916209,1983,1,"20%"
"35",0.979644335272303,0.965758174059999,0.994819802253675,1984,1,"20%"
"36",0.976739954792825,0.963108143852944,0.991932168692512,1985,1,"20%"
"37",0.972931299911008,0.959276914610775,0.98818290491933,1986,1,"20%"
"38",0.968221539576717,0.954066962255414,0.98293140484875,1987,1,"20%"
"39",0.963314450664055,0.949479251193927,0.978018912265228,1988,1,"20%"
"40",0.958678268428126,0.944922631156461,0.973513142297336,1989,1,"20%"
"41",0.953725006896747,0.940063133542449,0.968383244333211,1990,1,"20%"
"42",0.947549321885751,0.934093441109163,0.962129431082619,1991,1,"20%"
"43",0.939986970441434,0.925322467942583,0.95490371891401,1992,1,"20%"
"44",0.932171589643459,0.917581090770299,0.946808191543146,1993,1,"20%"
"45",0.925340268343874,0.910572295876293,0.93991965185676,1994,1,"20%"
"46",0.919480089442697,0.905105264783179,0.934520226762742,1995,1,"20%"
"47",0.912928216865855,0.897410904860579,0.928956028750629,1996,1,"20%"
"48",0.903869853215604,0.888707466458872,0.919396391337763,1997,1,"20%"
"49",0.892275669914097,0.876886365224048,0.908266739642915,1998,1,"20%"
"50",0.8797708396863,0.864422379775967,0.896355894795418,1999,1,"20%"
"51",0.868041019604258,0.852170152175635,0.884430553977307,2000,1,"20%"
"52",0.857773443825576,0.841918389647866,0.874178115993491,2001,1,"20%"
"53",0.846634054134995,0.830646829115955,0.863397495004213,2002,1,"20%"
"54",0.832125590140995,0.816249094549395,0.848559980263378,2003,1,"20%"
"55",0.814536682430116,0.798340676714985,0.831675534583026,2004,1,"20%"
"56",0.795662677097618,0.779848252279357,0.812867418795873,2005,1,"20%"
"57",0.776019834666608,0.76068187432235,0.792481050046552,2006,1,"20%"
"58",0.755670582201639,0.740556188181682,0.771586238229983,2007,1,"20%"
"59",0.734435242571464,0.719257653300218,0.749736382565097,2008,1,"20%"
"60",0.711730116956545,0.697407659352601,0.726375578606004,2009,1,"20%"
"61",0.687516751956601,0.673585910069262,0.702065207956749,2010,1,"20%"
"62",0.662244313060012,0.648442735448857,0.676269631445283,2011,1,"20%"
"63",0.636001363680697,0.6227319248701,0.649570265247441,2012,1,"20%"
"64",0.608255300020479,0.595476818584972,0.621301070039286,2013,1,"20%"
"65",0.578300567216496,0.566021473110952,0.590966606677427,2014,1,"20%"
"66",0.546020692082068,0.53456248656391,0.558047690799557,2015,1,"20%"
"67",0.512052521114702,0.501309056119204,0.523445064128627,2016,1,"20%"
"68",0.477351384939722,0.466483183736648,0.489190804139039,2017,1,"20%"
"69",0.443028549680128,0.432506524296301,0.454981823269536,2018,1,"20%"
"70",0.409057573649713,0.398059691736857,0.421270234943489,2019,1,"20%"
"71",0.409057573649713,0.398059691736857,0.421270234943489,2020,1,"20%"
"72",1,1,1,1950,2,"40%"
"73",0.99955649410782,0.997695375930699,1.0009390090489,1951,2,"40%"
"74",0.998877712131149,0.996466035114104,1.00083816769122,1952,2,"40%"
"75",0.997488955095158,0.994708698763685,1.00000715690451,1953,2,"40%"
"76",0.996013134931747,0.99246315313825,0.999224844558588,1954,2,"40%"
"77",0.994730956113503,0.9902096047878,0.998261562666625,1955,2,"40%"
"78",0.994095922065162,0.989193147613217,0.9982184977061,1956,2,"40%"
"79",0.993338629705247,0.988247483966884,0.997884932100384,1957,2,"40%"
"80",0.993424136283492,0.98832148083411,0.998155479839976,1958,2,"40%"
"81",0.993641424054338,0.988210114833386,0.998589545980855,1959,2,"40%"
"82",0.994431073109865,0.988611123821497,1.00002979356729,1960,2,"40%"
"83",0.993004316988183,0.986807754101645,0.998601716475745,1961,2,"40%"
"84",0.992201471106952,0.985980584914936,0.998018896887535,1962,2,"40%"
"85",0.992477360674632,0.985661950093956,0.99858545793395,1963,2,"40%"
"86",0.993032618580678,0.986072568584209,0.999460741912623,1964,2,"40%"
"87",0.99249011136521,0.98538487565712,0.99887726844172,1965,2,"40%"
"88",0.99294070084311,0.985513750853317,0.999372456272642,1966,2,"40%"
"89",0.992179819861156,0.98460387030231,0.99898323038942,1967,2,"40%"
"90",0.990939527184587,0.983168340016991,0.998517925975174,1968,2,"40%"
"91",0.990814992518709,0.983039726819689,0.998610248380732,1969,2,"40%"
"92",0.990690133193292,0.983331429164237,0.998661607680444,1970,2,"40%"
"93",0.990041218906068,0.981687975014911,0.998643900961959,1971,2,"40%"
"94",0.989969835757538,0.981399268646955,0.998534460877105,1972,2,"40%"
"95",0.988880462593374,0.980089493519658,0.997759940194965,1973,2,"40%"
