"","LPI_final","CI_low","CI_high","years","sim","label"
"1",1,1,1,1950,1,"20%"
"2",0.850135773502302,0.834578316732278,0.871165330556492,1951,1,"20%"
"3",0.766206935155836,0.740754503078186,0.795136549909857,1952,1,"20%"
"4",0.724553756569559,0.699797608417898,0.754278736197628,1953,1,"20%"
"5",0.708948565987455,0.685226006147216,0.738427119831983,1954,1,"20%"
"6",0.698650983281732,0.673884804081623,0.727944919247639,1955,1,"20%"
"7",0.684444469608241,0.660561701795463,0.714068031619318,1956,1,"20%"
"8",0.668964139700772,0.644972999110946,0.697463431590174,1957,1,"20%"
"9",0.656771229667476,0.633217158304562,0.684959109336579,1958,1,"20%"
"10",0.648849896817305,0.625720343362011,0.676276192100289,1959,1,"20%"
"11",0.642000089320364,0.619078294078225,0.668855729859314,1960,1,"20%"
"12",0.633567044068485,0.610943696195079,0.660409917044111,1961,1,"20%"
"13",0.624260600835472,0.602431131497517,0.650753829470836,1962,1,"20%"
"14",0.615789693207745,0.593829331370404,0.641729289369298,1963,1,"20%"
"15",0.608754579129464,0.587337061918468,0.634722945184489,1964,1,"20%"
"16",0.60234954010296,0.581006239991419,0.627919839407977,1965,1,"20%"
"17",0.595687495256201,0.574412855150595,0.621445447235685,1966,1,"20%"
"18",0.58919059185711,0.568391855473253,0.61460554485504,1967,1,"20%"
"19",0.583647414564298,0.562880428200363,0.60835730400919,1968,1,"20%"
"20",0.578858965878456,0.558398768308076,0.603152246151879,1969,1,"20%"
"21",0.573912842990476,0.553513081090315,0.598272724176774,1970,1,"20%"
"22",0.568530150488628,0.548127017190218,0.592509810216766,1971,1,"20%"
"23",0.562992055018761,0.542671028750336,0.586684940973396,1972,1,"20%"
"24",0.557629125331889,0.537574707341382,0.581565352516655,1973,1,"20%"
"25",0.552634598930563,0.532584805924135,0.576715406948921,1974,1,"20%"
"26",0.548233368140673,0.528149165466689,0.572452838766162,1975,1,"20%"
"27",0.544593475246149,0.524686855385407,0.568414672733566,1976,1,"20%"
"28",0.541394552372832,0.521856593754381,0.565417774024735,1977,1,"20%"
"29",0.53804551608558,0.518097538289817,0.561137494783163,1978,1,"20%"
"30",0.534230795897203,0.514276906877825,0.557482762483188,1979,1,"20%"
"31",0.530269635757939,0.510654683243357,0.553332767599295,1980,1,"20%"
"32",0.526672443712307,0.507259492102449,0.549495154970792,1981,1,"20%"
"33",0.523420009557935,0.50389466141231,0.546056729582492,1982,1,"20%"
"34",0.52016710100038,0.500993176086577,0.542859398371068,1983,1,"20%"
"35",0.516450887736571,0.497045154833485,0.53914265836037,1984,1,"20%"
"36",0.512369049833131,0.493334659266802,0.534703568533299,1985,1,"20%"
"37",0.508630702642871,0.48966046700286,0.530831488660613,1986,1,"20%"
"38",0.505482859048558,0.486171084340973,0.527675997212524,1987,1,"20%"
"39",0.502392482570971,0.483401082298745,0.524674817629546,1988,1,"20%"
"40",0.49882164271443,0.479870671613415,0.520592646022972,1989,1,"20%"
"41",0.494822803996618,0.476153169481099,0.516397824797443,1990,1,"20%"
"42",0.49099548513478,0.472566434509253,0.512455012696742,1991,1,"20%"
"43",0.487836686785153,0.469460450509271,0.509587753691042,1992,1,"20%"
"44",0.485133158193125,0.466947761748986,0.506454292953519,1993,1,"20%"
"45",0.482383057873008,0.464488695387527,0.503845394410454,1994,1,"20%"
"46",0.479547914981736,0.461510363109987,0.500641243825621,1995,1,"20%"
"47",0.476789265376087,0.458987052765929,0.497740314608954,1996,1,"20%"
"48",0.474121605057635,0.456374191556751,0.494805910674934,1997,1,"20%"
"49",0.471443496944345,0.45387642100726,0.492173355859848,1998,1,"20%"
"50",0.468925824263361,0.451637823760763,0.489378336479092,1999,1,"20%"
"51",0.466873546815219,0.44930322568692,0.487331369627052,2000,1,"20%"
"52",0.465279760253593,0.447783127464186,0.486130174935762,2001,1,"20%"
"53",0.463723144373894,0.446178556004957,0.484018190644937,2002,1,"20%"
"54",0.461766625860358,0.444042529194026,0.481740706796329,2003,1,"20%"
"55",0.459290936942676,0.441450434053385,0.4792662686385,2004,1,"20%"
"56",0.456678397601309,0.438889595964197,0.476388234298991,2005,1,"20%"
"57",0.454254980609148,0.436658615299714,0.473950539151534,2006,1,"20%"
"58",0.451897854147161,0.434573786601568,0.471759686821903,2007,1,"20%"
"59",0.449185367872335,0.431671904680121,0.469019649388999,2008,1,"20%"
"60",0.446144041637881,0.428876371679716,0.46640002918157,2009,1,"20%"
"61",0.443208734559061,0.426271998441828,0.463188137740983,2010,1,"20%"
"62",0.440864865277326,0.423674831738973,0.460661163561292,2011,1,"20%"
"63",0.439283812202752,0.421907819786216,0.458567849966366,2012,1,"20%"
"64",0.438084271605008,0.42047816920612,0.45741741365037,2013,1,"20%"
"65",0.436772289311882,0.419310179784546,0.456069539384527,2014,1,"20%"
"66",0.434987055781534,0.417596959607457,0.454174855608927,2015,1,"20%"
"67",0.432732277722389,0.415582174810948,0.451866625116774,2016,1,"20%"
"68",0.430375858895562,0.413320692292029,0.449383476125078,2017,1,"20%"
"69",0.42826004164762,0.410996077518495,0.446982836955435,2018,1,"20%"
"70",0.426537536712504,0.4095429806442,0.444956399996228,2019,1,"20%"
"71",0.426537536712504,0.4095429806442,0.444956399996228,2020,1,"20%"
"72",1,1,1,1950,2,"40%"
"73",0.874163547398892,0.826166275996372,0.918087167573388,1951,2,"40%"
"74",0.797473483696751,0.749696348308387,0.842659367820452,1952,2,"40%"
"75",0.741910049646408,0.692585907348012,0.790504121829256,1953,2,"40%"
"76",0.715252907831923,0.667255712350194,0.761957874105145,1954,2,"40%"
"77",0.69524288575561,0.64913275018465,0.74032968569817,1955,2,"40%"
