"","trend_type","label","years","CI_high","CI_low","LPI_final","sim"
"1","Linear Decrease","20%",1950,1,1,1,"median"
"2","Linear Decrease","20%",1951,1.03765153920627,0.966929703898377,0.997454875077868,"median"
"3","Linear Decrease","20%",1952,1.05574681110948,0.955798224721233,1.00090363682204,"median"
"4","Linear Decrease","20%",1953,1.08909820623632,0.95406037580582,1.01121853301565,"median"
"5","Linear Decrease","20%",1954,1.10597691584955,0.955413847474898,1.02476329886745,"median"
"6","Linear Decrease","20%",1955,1.12297371907046,0.950740854736195,1.03014479978646,"median"
"7","Linear Decrease","20%",1956,1.12302413915212,0.938995566377343,1.02429122117212,"median"
"8","Linear Decrease","20%",1957,1.10831865966312,0.920038392092515,1.01082014866635,"median"
"9","Linear Decrease","20%",1958,1.08922995031359,0.903455558428384,0.992858589870811,"median"
"10","Linear Decrease","20%",1959,1.07509173478118,0.884591737722468,0.976090417215356,"median"
"11","Linear Decrease","20%",1960,1.06689821125421,0.869371261779076,0.960564165748766,"median"
"12","Linear Decrease","20%",1961,1.04624219205285,0.859909014771705,0.948777881334736,"median"
"13","Linear Decrease","20%",1962,1.03577120019545,0.848720213295729,0.940989060453553,"median"
"14","Linear Decrease","20%",1963,1.0330087963009,0.84058824167766,0.937185747465319,"median"
"15","Linear Decrease","20%",1964,1.03739634648927,0.835439218145165,0.934163188931162,"median"
"16","Linear Decrease","20%",1965,1.03617082231389,0.836070202828888,0.934236923279197,"median"
"17","Linear Decrease","20%",1966,1.04061460851888,0.83548323242674,0.932897123642413,"median"
"18","Linear Decrease","20%",1967,1.03775605702826,0.82926574871637,0.928271080010364,"median"
"19","Linear Decrease","20%",1968,1.02483096138024,0.813977484982659,0.91847615097677,"median"
"20","Linear Decrease","20%",1969,1.00788387907009,0.800131736878775,0.902548893665968,"median"
"21","Linear Decrease","20%",1970,0.993795165021153,0.783442109139351,0.882570678562894,"median"
"22","Linear Decrease","20%",1971,0.976934492831548,0.770727542487362,0.866444456916893,"median"
"23","Linear Decrease","20%",1972,0.969424316840694,0.760704392421972,0.857500228067543,"median"
"24","Linear Decrease","20%",1973,0.961381836573453,0.755796415357685,0.8519181726804,"median"
"25","Linear Decrease","20%",1974,0.953843606612341,0.745879345893042,0.84471396743999,"median"
"26","Linear Decrease","20%",1975,0.937373570035278,0.733541531200819,0.831115588218987,"median"
"27","Linear Decrease","20%",1976,0.918023933494006,0.718039892374526,0.81587345250581,"median"
"28","Linear Decrease","20%",1977,0.89951656943956,0.703416138897381,0.801242704132519,"median"
