"","LPI_final","CI_low","CI_high","years"
"1950",1,1,1,1950
"1951",1.00093937188534,1.00029283134135,1.00160459740815,1951
"1952",1.00103824324346,1.00016634522511,1.00198811420966,1952
"1953",1.00138152195828,1.00038403902674,1.00240865182233,1953
"1954",1.00229177469884,1.00120607658922,1.00346435499191,1954
"1955",1.00138468999014,1.0001839138321,1.00267702850584,1955
"1956",1.00169355708561,1.0003673684377,1.00308957332185,1956
"1957",1.00179336818444,1.00044038449929,1.00327766967303,1957
"1958",1.00228440234184,1.00086808865034,1.00377981923397,1958
"1959",1.00155289981567,0.99985899931018,1.00317388537267,1959
"1960",1.002363708447,1.00065439714658,1.00408169699284,1960
"1961",1.00174689468589,0.999877408055486,1.00363029290258,1961
"1962",1.00205062962736,1.00007568851304,1.00393999687329,1962
"1963",1.00228961908215,1.00030752070169,1.00431584037702,1963
"1964",1.00285908344401,1.00082157584907,1.00489755733561,1964
"1965",1.00248077114906,1.00032790990421,1.0045211137403,1965
"1966",1.00237369842479,1.00016964021568,1.00461273655497,1966
"1967",1.00314204926903,1.00088300579695,1.00557375051544,1967
"1968",1.00249413231148,1.0000152358289,1.00502485316398,1968
"1969",1.00325773017384,1.00067225017038,1.00583887970197,1969
"1970",1.00286408004587,1.00026391761937,1.00552547396179,1970
"1971",1.00307828118935,1.00038887682082,1.00577932562085,1971
"1972",1.00255192136623,0.999726018796771,1.0052373851379,1972
"1973",1.00254463333915,0.999688147240815,1.00534973201197,1973
"1974",1.00300851636184,1.00015498942832,1.00593115648158,1974
"1975",1.00363617935847,1.00066593410655,1.00674014561417,1975
"1976",1.00341956112547,1.00043206333526,1.00642220581217,1976
"1977",1.00323839661873,1.00019175226318,1.00635617671627,1977
"1978",1.0029002080433,0.999699417572572,1.00609126554037,1978
"1979",1.0033256440966,1.00015641629867,1.00653797482856,1979
"1980",1.00374325191289,1.00044721764319,1.0070112450232,1980
"1981",1.00386448364817,1.00056509068611,1.00726007348108,1981
"1982",1.00341619334664,0.999890728408019,1.00671251629757,1982
"1983",1.00346275695889,0.99998319277356,1.00677495765272,1983
"1984",1.00362608037218,1.00014875689852,1.00704445281684,1984
"1985",1.00364086373312,1.00022228538365,1.00694854512495,1985
"1986",1.00308478850592,0.999405940891983,1.00662533695491,1986
"1987",1.00360512002572,0.999855317340718,1.00731302977578,1987
"1988",1.00304152610021,0.999380740091016,1.0069180634912,1988
"1989",1.00362438721322,0.999909344909947,1.00748082945401,1989
"1990",1.00329500256433,0.999463384622783,1.007244474859,1990
"1991",1.00321370839979,0.999312470493495,1.00706770140327,1991
"1992",1.00358703436526,0.999557624829077,1.00740057563316,1992
"1993",1.0042619188273,1.00027053753733,1.0081729257773,1993
"1994",1.00377999116908,0.999734736672119,1.00763748158973,1994
"1995",1.00320980785399,0.999051689606142,1.00709021104524,1995
"1996",1.0033241970508,0.999149265637251,1.00729645384909,1996
"1997",1.00370729276039,0.999514583798605,1.00766130666341,1997
"1998",1.00364183587142,0.999536931624651,1.00762294335539,1998
"1999",1.0032177498765,0.998939838308366,1.00718252531104,1999
"2000",1.0032321948674,0.999035698834631,1.00713070175014,2000
"2001",1.00307355115471,0.998668221040532,1.0071937535119,2001
"2002",1.00308359658361,0.998646654208792,1.0072897103762,2002
"2003",1.00320778893117,0.998695089141041,1.00726580949466,2003
"2004",1.00300848169762,0.99844013441466,1.0071158669114,2004
"2005",1.0033764915568,0.998848001120788,1.0076623095417,2005
"2006",1.0031659040501,0.998699837717904,1.00751798628489,2006
"2007",1.00313273079935,0.998551437234747,1.00742478322021,2007
"2008",1.00328077403408,0.998753046325931,1.00753875859491,2008
"2009",1.00317126743106,0.998516307433978,1.00758368534426,2009
"2010",1.00292924417575,0.998271400724975,1.00745914321399,2010
"2011",1.00251388920283,0.997851581845762,1.00715694932896,2011
"2012",1.00327712747033,0.998377446461267,1.00804607302968,2012
"2013",1.00306901254858,0.998091081860827,1.00773146688695,2013
"2014",1.00333890226443,0.998345829908767,1.0082658166226,2014
"2015",1.0037052739969,0.998743220944786,1.00864603204245,2015
"2016",1.00316153510709,0.998085057723298,1.0080017874396,2016
"2017",1.002474857997,0.997403135684469,1.00743382892872,2017
"2018",1.003161141037,0.998107547537653,1.00816019224534,2018
"2019",1.00270019627407,0.997662071321142,1.00770704955318,2019
"2020",1.00270019627407,0.997662071321142,1.00770704955318,2020
